1570.89550027,2223,1.4151164095,,,
4796.32093822,5547,1.1565114327,,,
5470.46716573,5849,1.0691957054,,,
5458.1928478,6760,1.2385051589,,,
9285.26276337,20570,2.2153384911,,,
7197.74733212,14130,1.9631142006,,,
6875.44135751,9430,1.3715483137,,Moyenne : ,1.5139074524
999.352189506,1701,1.70210264,,,
2054.46094406,2764,1.345365074,,,
10182.8205742,16025,1.5737289961,,,
5007.75795831,8215,1.6404546842,,,
2800.49679731,3434,1.2262110077,,,
6587.42490779,8226,1.2487428874,,,
2490.55349542,3392,1.3619462526,,,
5381.66342487,6340,1.1780744167,,,
772.757701476,857,1.1090151523,,,
7007.95675785,13408,1.9132538147,,,
1228.61343704,1781,1.4496015967,,,
3308.68249719,4693,1.418389345,,,
3044.76410381,4263,1.4001084664,,,
1469.25800146,3301,2.2467122838,,,
6616.26272095,8130,1.2287903826,,,
8209.27593676,14119,1.7198837155,,,
3552.61921067,4148,1.1675892501,,,
8325.82143094,11646,1.3987809007,,,
3986.74383578,5717,1.4340023426,,,
545.528596176,786,1.4408043969,,,
1432.11876473,2336,1.6311496347,,,
4200.35289343,10949,2.6066857423,,,
2577.91012584,3814,1.4794930055,,,
2569.33542332,3769,1.4669162951,,,
6874.20918409,18458,2.6851088621,,,
930.834511844,2330,2.5031302239,,,
6344.091778,7937,1.2510853055,,,
10470.1178935,20803,1.9868926226,,,
4001.27947854,4929,1.2318559667,,,
3606.98760571,4465,1.2378750603,,,
7669.10313223,16120,2.1019406992,,,
3303.9832657,4175,1.2636262548,,,
3827.61550189,4519,1.1806306035,,,
3444.90091219,4644,1.3480794131,,,
5887.84127022,6785,1.1523748159,,,
6746.57303974,12040,1.7846097462,,,
4692.5312902,10553,2.2488928357,,,
10668.0265055,15018,1.4077580321,,,
11027.9518635,17921,1.6250524324,,,
2119.24633214,2726,1.2863063433,,,
7910.98273229,12047,1.5228196556,,,
3356.98650838,3971,1.1829061541,,,
4418.6454034,5692,1.288177593,,,
2397.48460291,2754,1.1487039361,,,
2958.00780759,4336,1.4658514386,,,
3811.07056666,4594,1.2054355645,,,
4445.15042477,6742,1.5167090775,,,
6628.76541564,12309,1.856906864,,,
